Description,Valence_Mean,Valence_ SD,Arousal_ Mean,Arousal_ SD,Word Frequency
abduction,2.76,2.06,5.53,2.43,1
abortion,3.5,2.3,5.39,2.8,6
absurd,4.26,1.82,4.36,2.2,17
abundance,6.59,2.01,5.51,2.63,13
abuse,1.8,1.23,6.83,2.7,18
acceptance,7.98,1.42,5.4,2.7,49
accident,2.05,1.19,6.26,2.87,33
ace,6.88,1.93,5.5,2.66,15
ache,2.46,1.52,5,2.45,4
achievement,7.89,1.38,5.53,2.81,65
activate,5.46,0.98,4.86,2.56,2
addict,2.48,2.08,5.66,2.26,1
addicted,2.51,1.42,4.81,2.46,3
admired,7.74,1.84,6.11,2.36,17
adorable,7.81,1.24,5.12,2.71,3
adult,6.49,1.5,4.76,1.95,25
advantage,6.95,1.85,4.76,2.18,73
adventure,7.6,1.5,6.98,2.15,14
affection,8.39,0.86,6.21,2.75,18
afraid,2,1.28,6.67,2.54,57
aggressive,5.1,1.68,5.83,2.33,17
agility,6.46,1.57,4.85,1.8,3
agony,2.43,2.17,6.06,2.67,9
agreement,7.08,1.59,5.02,2.24,106
air,6.34,1.56,4.12,2.3,257
alcoholic,2.84,2.34,5.69,2.36,3
alert,6.2,1.76,6.85,2.53,33
alien,5.6,1.82,5.45,2.15,16
alimony,3.95,2,4.3,2.29,2
alive,7.25,2.22,5.5,2.74,57
allergy,3.07,1.64,4.64,2.34,1
alley,4.48,1.97,4.91,2.42,8
alone,2.41,1.77,4.83,2.66,195
aloof,4.9,1.92,4.28,2.1,5
ambition,7.04,1.98,5.61,2.92,19
ambulance,2.47,1.5,7.33,1.96,6
angel,7.53,1.58,4.83,2.63,18
anger,2.34,1.32,7.63,1.91,48
angry,2.85,1.7,7.17,2.07,45
anguished,2.12,1.56,5.33,2.69,2
ankle,5.27,1.54,4.16,2.03,8
annoy,2.74,1.81,6.49,2.17,2
answer,6.63,1.68,5.41,2.43,152
anxious,4.81,1.98,6.92,1.81,29
applause,7.5,1.5,5.8,2.79,14
appliance,5.1,1.21,4.05,2.06,5
arm,5.34,1.82,3.59,2.4,94
army,4.72,1.75,5.03,2.03,132
aroused,7.97,1,6.63,2.7,20
arrogant,3.69,2.4,5.65,2.23,2
art,6.68,2.1,4.86,2.88,208
assassin,3.09,2.09,6.28,2.53,6
assault,2.03,1.55,7.51,2.28,15
astonished,6.56,1.61,6.58,2.22,6
astronaut,6.66,1.6,5.28,2.11,2
athletics,6.61,2.08,6.1,2.29,9
autumn,6.3,2.14,4.51,2.5,22
avalanche,3.29,1.95,5.54,2.37,1
avenue,5.5,1.37,4.12,2.01,46
awed,6.7,1.38,5.74,2.31,5
baby,8.22,1.2,5.53,2.8,62
bake,6.17,1.71,5.1,2.3,12
bandage,4.54,1.75,3.9,2.07,4
bankrupt,2,1.31,6.21,2.79,5
banner,5.4,0.83,3.83,1.95,8
bar,6.42,2.05,5,2.83,82
barrel,5.05,1.46,3.36,2.28,24
basket,5.45,1.15,3.63,2.02,17
bastard,3.36,2.16,6.07,2.15,12
bath,7.33,1.45,4.16,2.31,26
bathroom,5.55,1.36,3.88,1.72,18
bathtub,6.69,1.57,4.36,2.59,4
beach,8.03,1.59,5.53,3.07,61
beast,4.23,2.41,5.57,2.61,7
beautiful,7.6,1.64,6.17,2.34,127
beauty,7.82,1.16,4.95,2.57,71
bed,7.51,1.38,3.61,2.56,127
bees,3.2,2.07,6.51,2.14,15
beggar,3.22,2.02,4.91,2.45,2
bench,4.61,1.4,3.59,2.07,35
bereavement,4.57,1.7,4.2,2.15,4
betray,1.68,1.02,7.24,2.06,4
beverage,6.83,1.48,5.21,2.46,5
bird,7.27,1.36,3.17,2.23,31
birthday,7.84,1.92,6.68,2.11,18
black,5.39,1.8,4.61,2.24,203
blackmail,2.95,1.95,6.03,2.7,2
bland,4.1,1.08,3.29,1.89,3
blase,4.89,1.16,3.94,1.76,7
blasphemy,3.75,2.26,4.93,2.34,4
bless,7.19,1.69,4.05,2.59,9
blind,3.05,1.99,4.39,2.36,47
bliss,6.95,2.24,4.41,2.95,4
blister,2.88,1.75,4.1,2.34,3
blond,6.43,2.04,5.07,2.7,11
bloody,2.9,1.98,6.41,2,8
blossom,7.26,1.18,5.03,2.65,7
blubber,3.52,1.99,4.57,2.38,1
blue,6.76,1.78,4.31,2.2,143
board,4.82,1.23,3.36,2.12,239
body,5.55,2.37,5.52,2.63,276
bold,6.8,1.61,5.6,2.21,21
bomb,2.1,1.19,7.15,2.4,36
book,5.72,1.54,4.17,2.49,193
bored,2.95,1.35,2.83,2.31,14
bottle,6.15,1.49,4.79,2.44,76
bouquet,7.02,1.84,5.46,2.47,4
bowl,5.33,1.33,3.47,2.12,23
boxer,5.51,1.8,5.12,2.26,1
boy,6.32,1.6,4.58,2.37,242
brave,7.15,1.64,6.15,2.45,24
breast,6.5,1.78,5.37,2.39,11
breeze,6.85,1.71,4.37,2.32,14
bride,7.34,1.71,5.55,2.74,33
bright,7.5,1.55,5.4,2.33,87
broken,3.05,1.92,5.43,2.42,63
brother,7.11,2.17,4.71,2.68,73
brutal,2.8,1.9,6.6,2.36,7
building,5.29,1.15,3.92,1.94,160
bullet,3.29,2.06,5.33,2.48,28
bunny,7.24,1.32,4.06,2.61,1
burdened,2.5,1.32,5.63,2.07,4
burial,2.05,1.41,5.08,2.4,11
burn,2.73,1.72,6.22,1.91,15
bus,4.51,1.57,3.55,1.8,34
busybody,5.17,2.02,4.84,2.41,.
butter,5.33,1.2,3.17,1.84,27
butterfly,7.17,1.2,3.47,2.39,2
cabinet,5.05,0.31,3.43,1.85,17
cake,7.26,1.27,5,2.37,9
cancer,1.5,0.85,6.42,2.83,25
candy,6.54,2.09,4.58,2.4,16
cane,4,1.8,4.2,1.93,12
cannon,4.9,2.2,4.71,2.84,7
capable,7.16,1.39,5.08,2.07,66
car,7.73,1.63,6.24,2.04,274
carcass,3.34,1.92,4.83,2.07,7
carefree,7.54,1.38,4.17,2.84,9
caress,7.84,1.16,5.14,3,1
cash,8.37,1,7.37,2.21,36
casino,6.81,1.66,6.51,2.12,2
cat,5.72,2.43,4.38,2.24,.
cell,3.82,1.7,4.08,2.19,65
cellar,4.32,1.68,4.39,2.33,26
cemetery,2.63,1.4,4.82,2.66,15
chair,5.08,0.98,3.15,1.77,66
champ,7.18,1.97,6,2.43,1
champion,8.44,0.9,5.85,3.15,23
chance,6.02,1.77,5.38,2.58,131
chaos,4.17,2.36,6.67,2.06,17
charm,6.77,1.58,5.16,2.25,26
cheer,8.1,1.17,6.12,2.45,8
child,7.08,1.98,5.55,2.29,213
chin,5.29,1.27,3.31,1.98,27
chocolate,6.88,1.89,5.29,2.55,9
christmas,7.8,1.55,6.27,2.56,27
church,6.28,2.31,4.34,2.45,348
circle,5.67,1.26,3.86,2.13,60
circus,7.3,1.84,5.97,2.59,7
city,6.03,1.37,5.24,2.53,393
cliff,4.67,2.08,6.25,2.15,11
clock,5.14,1.54,4.02,2.54,20
clothing,6.54,1.85,4.78,2.88,20
clouds,6.18,2.18,3.3,2.08,38
clumsy,4,2.22,5.18,2.4,6
coarse,4.55,1.42,4.21,1.84,10
coast,5.98,1.86,4.59,2.31,61
cockroach,2.81,2.11,6.11,2.78,2
coffin,2.56,1.96,5.03,2.79,7
coin,6.02,1.96,4.29,2.48,10
cold,4.02,1.99,5.19,2.23,171
color,7.02,1.57,4.73,2.64,141
column,5.17,0.85,3.62,1.91,71
comedy,8.37,0.94,5.85,2.81,39
comfort,7.07,2.14,3.93,2.85,43
computer,6.24,1.61,4.75,1.93,13
concentrate,5.2,1.28,4.65,2.13,11
confident,7.98,1.29,6.22,2.41,16
confused,3.21,1.51,6.03,1.88,44
consoled,5.78,1.64,4.53,2.22,2
contempt,3.85,2.13,5.28,2.04,15
contents,4.89,0.89,4.32,2.14,16
context,5.2,1.38,4.22,2.24,2
controlling,3.8,2.25,6.1,2.19,23
cook,6.16,1.89,4.44,1.96,47
cord,5.1,1.09,3.54,2.09,6
cork,5.22,1.13,3.8,2.18,9
corner,4.36,1.21,3.91,1.92,115
corpse,2.18,1.48,4.74,2.94,7
corridor,4.88,1.14,3.63,2.41,17
corrupt,3.32,2.32,4.67,2.35,8
cottage,6.45,1.52,3.39,2.54,19
couple,7.41,1.97,6.39,2.31,122
cow,5.57,1.53,3.49,2.13,29
coward,2.74,1.64,4.07,2.19,8
cozy,7.39,1.53,3.32,2.28,1
crash,2.31,1.44,6.95,2.44,20
crime,2.89,2.06,5.41,2.69,34
criminal,2.93,1.66,4.79,2.51,24
crisis,2.74,2.23,5.44,3.07,82
crown,6.58,1.42,4.28,2.53,19
crucify,2.23,1.72,6.47,2.47,2
crude,3.12,1.65,5.07,2.37,15
cruel,1.97,1.67,5.68,2.65,15
crushed,2.21,1.74,5.52,2.87,10
crutch,3.43,1.62,4.14,2.05,1
cuddle,7.72,1.92,4.4,2.67,.
cuisine,6.64,1.48,4.39,1.99,1
curious,6.08,1.63,5.82,1.64,46
curtains,4.83,0.83,3.67,1.83,8
custom,5.85,1.53,4.66,2.12,14
cut,3.64,2.08,5,2.32,192
cute,7.62,1.01,5.53,2.71,5
cyclone,3.6,2.38,6.36,2.89,.
dagger,3.38,1.77,6.14,2.64,1
damage,3.05,1.65,5.57,2.26,33
dancer,7.14,1.56,6,2.2,31
danger,2.95,2.22,7.32,2.07,70
dark,4.71,2.36,4.28,2.21,185
dawn,6.16,2.33,4.39,2.81,28
daylight,6.8,2.17,4.77,2.5,15
dazzle,7.29,1.09,6.33,2.02,1
dead,1.94,1.76,5.73,2.73,174
death,1.61,1.4,4.59,3.07,277
debt,2.22,1.17,5.68,2.74,13
deceit,2.9,1.63,5.68,2.46,2
decompose,3.2,1.81,4.65,2.39,1
decorate,6.93,1.3,5.14,2.39,2
defeated,2.34,1.66,5.09,3,15
defiant,4.26,2.12,6.1,2.51,3
deformed,2.41,1.66,4.07,2.34,.
delayed,3.07,1.74,5.62,2.39,25
delight,8.26,1.04,5.44,2.88,29
demon,2.11,1.56,6.76,2.68,9
dentist,4.02,2.23,5.73,2.13,12
depressed,1.83,1.42,4.72,2.95,11
depression,1.85,1.67,4.54,3.19,24
derelict,4.28,1.84,4.1,1.94,1
deserter,2.45,1.8,5.5,2.55,.
desire,7.69,1.39,7.35,1.76,79
despairing,2.43,1.47,5.68,2.37,4
despise,2.03,1.38,6.28,2.43,7
destroy,2.64,2.03,6.83,2.38,48
destruction,3.16,2.44,5.82,2.71,38
detached,3.86,1.88,4.26,2.57,12
detail,5.55,1.58,4.1,2.24,72
detest,2.17,1.3,6.06,2.39,1
devil,2.21,1.99,6.07,2.61,25
devoted,7.41,1.37,5.23,2.21,51
diamond,7.92,1.2,5.53,2.96,8
dignified,7.1,1.26,4.12,2.29,7
dinner,7.16,1.5,5.43,2.14,91
diploma,8,1.39,5.67,2.8,.
dirt,4.17,1.77,3.76,2.26,43
dirty,3.08,2.05,4.88,2.29,36
disappoint,2.39,1.44,4.92,2.64,.
disaster,1.73,1.13,6.33,2.7,26
discomfort,2.19,1.23,4.17,2.44,7
discouraged,3,2.16,4.53,2.11,15
disdainful,3.68,1.9,5.04,2.14,2
disgusted,2.45,1.41,5.42,2.59,6
disloyal,1.93,1.61,6.56,2.21,2
displeased,2.79,2.23,5.64,2.48,7
distressed,1.94,1.1,6.4,2.38,4
disturb,3.66,2,5.8,2.39,10
diver,6.45,1.55,5.04,2.1,1
divorce,2.22,1.88,6.33,2.71,29
doctor,5.2,2.54,5.86,2.7,100
dog,7.57,1.66,5.76,2.5,75
doll,6.09,1.96,4.24,2.43,10
dollar,7.47,1.72,6.07,2.67,46
door,5.13,1.44,3.8,2.29,312
dove,6.9,1.54,3.79,2.28,4
dreadful,2.26,1.91,5.84,2.62,10
dream,6.73,1.75,4.53,2.72,64
dreary,3.05,1.58,2.98,2.18,6
dress,6.41,1.34,4.05,1.89,67
drown,1.92,1.48,6.57,2.33,3
dummy,3.38,1.7,4.35,2.25,3
dump,3.21,1.87,4.12,2.36,4
dustpan,3.98,1.68,3.43,2,.
earth,7.15,1.67,4.24,2.49,150
easy,7.1,1.91,4.48,2.82,125
easygoing,7.2,1.5,4.3,2.52,1
eat,7.47,1.73,5.69,2.51,61
ecstasy,7.98,1.52,7.38,1.92,6
education,6.69,1.77,5.74,2.46,214
egg,5.29,1.82,3.76,2.39,12
elated,7.45,1.77,6.21,2.3,3
elbow,5.12,0.92,3.81,2.14,10
elegant,7.43,1.26,4.53,2.65,14
elevator,5.44,1.18,4.16,1.99,12
embarrassed,3.03,1.85,5.87,2.55,8
embattled,4.39,1.63,5.36,2.37,1
employment,6.47,1.81,5.28,2.12,47
engaged,8,1.38,6.77,2.07,47
engine,5.2,1.18,3.98,2.33,50
enjoyment,7.8,1.2,5.2,2.72,21
ennui,5.09,1.76,4.4,2.33,.
enraged,2.46,1.65,7.97,2.17,1
erotic,7.43,1.53,7.24,1.97,8
errand,4.58,1.74,3.85,1.92,7
event,6.21,1.63,5.1,2.4,81
evil,3.23,2.64,6.39,2.44,72
excellence,8.38,0.96,5.54,2.67,15
excitement,7.5,2.2,7.67,1.91,32
excuse,4.05,1.41,4.48,2.29,27
execution,2.37,2.06,5.71,2.74,15
exercise,7.13,1.58,6.84,2.06,58
fabric,5.3,1.2,4.14,1.98,15
face,6.39,1.6,5.04,2.18,371
failure,1.7,1.07,4.95,2.81,89
fall,4.09,2.21,4.7,2.48,147
fame,7.93,1.29,6.55,2.46,18
family,7.65,1.55,4.8,2.71,331
famous,6.98,2.07,5.73,2.68,89
fantasy,7.41,1.9,5.14,2.82,14
farm,5.53,1.85,3.9,1.95,125
fascinate,7.34,1.68,5.83,2.73,3
fat,2.28,1.92,4.81,2.8,60
father,7.08,2.2,5.92,2.6,383
fatigued,3.28,1.43,2.64,2.19,3
fault,3.43,1.38,4.07,1.69,22
favor,6.46,1.52,4.54,1.86,78
fear,2.76,2.12,6.96,2.17,127
fearful,2.25,1.18,6.33,2.28,13
feeble,3.26,1.47,4.1,2.07,8
festive,7.3,2.26,6.58,2.29,2
fever,2.76,1.64,4.29,2.31,19
field,6.2,1.37,4.08,2.41,274
fight,3.76,2.63,7.15,2.19,98
filth,2.47,1.68,5.12,2.32,2
finger,5.29,1.42,3.78,2.42,40
fire,3.22,2.06,7.17,2.06,187
fireworks,7.55,1.5,6.67,2.12,5
fish,6.04,1.94,4,2.19,35
flabby,2.66,1.87,4.82,2.81,.
flag,6.02,1.66,4.6,2.35,16
flirt,7.52,1.19,6.91,1.69,1
flood,3.19,1.66,6,2.02,19
flower,6.64,1.78,4,2.44,23
foam,6.07,2.03,5.26,2.54,37
food,7.65,1.37,5.92,2.11,147
foot,5.02,0.93,3.27,1.98,70
fork,5.29,0.97,3.96,1.94,14
foul,2.81,1.52,4.93,2.23,4
fragrance,6.07,1.97,4.79,2.54,6
fraud,2.67,1.66,5.75,2.45,8
free,8.26,1.31,5.15,3.04,260
freedom,7.58,2.04,5.52,2.72,128
friend,7.74,1.24,5.74,2.57,133
friendly,8.43,1.08,5.11,2.96,61
frigid,3.5,1.85,4.75,2.56,5
frog,5.71,1.74,4.54,2.03,1
frustrated,2.48,1.64,5.61,2.76,10
fun,8.37,1.11,7.22,2.01,44
funeral,1.39,0.87,4.94,3.21,33
fungus,3.06,1.75,4.68,2.33,2
fur,4.51,1.88,4.18,2.44,13
game,6.98,1.97,5.89,2.37,123
gangrene,2.28,1.91,5.7,2.96,.
garbage,2.98,1.96,5.04,2.5,7
garden,6.71,1.74,4.39,2.35,60
garment,6.07,1.61,4.49,2.5,6
garter,6.22,1.59,5.47,2.15,2
gender,5.73,1.55,4.38,2.13,2
gentle,7.31,1.3,3.21,2.57,27
germs,2.86,1.39,4.49,2.24,1
gift,7.77,2.24,6.14,2.76,33
girl,6.87,1.64,4.29,2.69,220
glacier,5.5,1.25,4.24,2.29,1
glamour,6.76,1.6,4.68,2.23,5
glass,4.75,1.38,4.27,2.07,99
gloom,1.88,1.23,3.83,2.33,14
glory,7.55,1.68,6.02,2.71,21
god,8.15,1.27,5.95,2.84,318
gold,7.54,1.63,5.76,2.79,52
golfer,5.61,1.93,3.73,2.26,3
good,7.47,1.45,5.43,2.85,807
gossip,3.48,2.33,5.74,2.38,13
graduate,8.19,1.13,7.25,2.25,30
grass,6.12,1.44,4.14,2.11,53
grateful,7.37,0.97,4.58,2.14,25
greed,3.51,1.93,4.71,2.26,3
green,6.18,2.05,4.28,2.46,116
greet,7,1.52,5.27,2.31,7
grenade,3.6,1.88,5.7,2.52,3
grief,1.69,1.04,4.78,2.84,10
grime,3.37,1.34,3.98,2.29,.
grin,7.4,1.87,5.27,2.64,13
gripe,3.14,1.56,5,2.19,.
guillotine,2.48,2.11,6.56,2.54,.
guilty,2.63,1.98,6.04,2.76,29
gun,3.47,2.48,7.02,1.84,118
gymnast,6.35,1.79,5.02,2.2,1
habit,4.11,1.77,3.95,2.11,23
hairdryer,4.84,0.84,3.71,1.75,.
hairpin,5.26,1.45,3.27,2.41,1
hamburger,6.27,1.5,4.55,2.14,6
hammer,4.88,1.16,4.58,2.02,9
hand,5.95,1.38,4.4,2.07,431
handicap,3.29,1.69,3.81,2.27,6
handsome,7.93,1.47,5.95,2.73,40
haphazard,4.02,1.41,4.07,2.18,2
happy,8.21,1.82,6.49,2.77,98
hard,5.22,1.82,5.12,2.19,202
hardship,2.45,1.61,4.76,2.55,9
hat,5.46,1.36,4.1,2,56
hate,2.12,1.72,6.95,2.56,42
hatred,1.98,1.92,6.66,2.56,20
hawk,5.88,1.62,4.39,2.29,14
hay,5.24,1.24,3.95,2.58,19
headache,2.02,1.06,5.07,2.74,5
headlight,5.24,1.51,3.81,2.22,.
heal,7.09,1.46,4.77,2.23,2
health,6.81,1.88,5.13,2.35,105
heart,7.39,1.53,6.34,2.25,173
heaven,7.3,2.39,5.61,3.2,43
hell,2.24,1.62,5.38,2.62,95
helpless,2.2,1.42,5.34,2.52,21
heroin,4.36,2.73,5.11,2.72,2
hide,4.32,1.91,5.28,2.51,22
highway,5.92,1.72,5.16,2.44,40
hinder,3.81,1.42,4.12,2.01,.
history,5.24,2.01,3.93,2.29,286
hit,4.33,2.35,5.73,2.09,115
holiday,7.55,2.14,6.59,2.73,17
home,7.91,1.63,4.21,2.94,547
honest,7.7,1.43,5.32,1.92,47
honey,6.73,1.7,4.51,2.25,25
honor,7.66,1.24,5.9,1.83,66
hooker,3.34,2.31,4.93,2.82,.
hope,7.05,1.96,5.44,2.47,178
hopeful,7.1,1.46,5.78,2.09,12
horror,2.76,2.25,7.21,2.14,17
horse,5.89,1.55,3.89,2.17,117
hospital,5.04,2.45,5.98,2.54,110
hostage,2.2,1.8,6.76,2.63,2
hostile,2.73,1.5,6.44,2.28,19
hotel,6,1.77,4.8,2.53,126
house,7.26,1.72,4.56,2.41,591
hug,8,1.55,5.35,2.76,3
humane,6.89,1.7,4.5,1.91,5
humble,5.86,1.42,3.74,2.33,18
humiliate,2.24,1.34,6.14,2.42,.
humor,8.56,0.81,5.5,2.91,47
hungry,3.58,2.01,5.13,2.44,23
hurricane,3.34,2.12,6.83,2.06,8
hurt,1.9,1.26,5.85,2.49,37
hydrant,5.02,0.93,3.71,1.75,.
icebox,4.95,1,4.17,2.11,3
idea,7,1.34,5.86,1.81,195
identity,6.57,1.99,4.95,2.24,55
idiot,3.16,1.91,4.21,2.47,2
idol,6.12,1.86,4.95,2.14,7
ignorance,3.07,2.25,4.39,2.49,16
illness,2.48,1.4,4.71,2.24,20
imagine,7.32,1.52,5.98,2.14,61
immature,3.39,1.7,4.15,1.96,7
immoral,3.5,2.16,4.98,2.48,5
impair,3.18,1.86,4.04,2.14,4
impotent,2.81,1.92,4.57,2.59,2
impressed,7.33,1.84,5.42,2.65,30
improve,7.65,1.16,5.69,2.15,39
incentive,7,1.72,5.69,2.45,12
indifferent,4.61,1.28,3.18,1.85,11
industry,5.3,1.61,4.47,2.43,171
infant,6.95,2.08,5.05,2.66,11
infatuation,6.73,2.08,7.02,1.87,4
infection,1.66,1.34,5.03,2.77,8
inferior,3.07,1.57,3.83,2.05,7
inhabitant,5.05,1.34,3.95,1.97,.
injury,2.49,1.76,5.69,2.06,27
ink,5.05,0.81,3.84,1.88,7
innocent,6.51,1.34,4.21,1.99,37
insane,2.85,1.94,5.83,2.45,13
insect,4.07,2.16,4.07,2.46,14
insecure,2.36,1.33,5.56,2.34,3
insolent,4.35,1.76,5.38,2.37,2
inspire,6.97,1.91,5,2.53,3
inspired,7.15,1.85,6.02,2.67,25
insult,2.29,1.33,6,2.46,7
intellect,6.82,1.96,4.75,2.5,5
intercourse,7.36,1.57,7,2.07,9
interest,6.97,1.53,5.66,2.26,330
intimate,7.61,1.51,6.98,2.21,21
intruder,2.77,2.32,6.86,2.41,1
invader,3.05,2.01,5.5,2.4,1
invest,5.93,2.1,5.12,2.42,3
iron,4.9,1.02,3.76,2.06,43
irritate,3.11,1.67,5.76,2.15,.
item,5.26,0.86,3.24,2.08,54
jail,1.95,1.27,5.49,2.67,21
jealousy,2.51,1.83,6.36,2.66,4
jelly,5.66,1.44,3.7,2.29,3
jewel,7,1.72,5.38,2.54,1
joke,8.1,1.36,6.74,1.84,22
jolly,7.41,1.92,5.57,2.8,4
journal,5.14,1.49,4.05,1.96,42
joy,8.6,0.71,7.22,2.13,40
joyful,8.22,1.22,5.98,2.54,1
jug,5.24,1.65,3.88,2.15,6
justice,7.78,1.35,5.47,2.54,114
kerchief,5.11,1.33,3.43,2.08,1
kerosene,4.8,1.59,4.34,2.51,6
ketchup,5.6,1.35,4.09,2.08,1
kettle,5.22,0.91,3.22,2.23,3
key,5.68,1.62,3.7,2.18,88
kick,4.31,2.18,4.9,2.35,16
kids,6.91,1.99,5.27,2.36,32
killer,1.89,1.39,7.86,1.89,21
kind,7.59,1.67,4.46,2.55,313
kindness,7.82,1.39,4.3,2.62,5
